"Integrated Scheme of School Education
                               ",,,,,,
Major Component,Sub Component,,,Activity Master,Norms,Criteria For Appraisal
Elementary Education,,,,,,
Access & Retention,Opening of New / Upgraded Schools,1,,Opening of New Schools  - NR (Elementary),,
,,,1.1,Composite School for Elementary,As per  State SORs/CPWD Rate (Which ever is less),
,,,1.2,Upgradation of PS to UPS (VI -VIII),As per  State SORs/CPWD Rate (Which ever is less),
,,2,,Opening of New Schools - Recurring (Elementary),,
,,,2.1,Recurring Cost - New Primary (Samagra),,
,,,2.2,Recurring Cost - New Upper Primary (Samagra),,
,,,2.3,Recurring Cost - Primary (Previous) (Samagra),,
,,,2.4,Recurring Cost - Upper Primary (Previous) (Samagra),,
,Netaji Subhas Chandra Avasiya Vidhyalaya,10,,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),,
,,,10.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,10.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,10.3,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,,10.4,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
,,,10.5,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,10.6,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,172.9,"2 Support Staff - (Accountant / Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,172.10,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,172.11,1 Head Teacher/Principal,Physical Number should proposed per Head Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,172.12,4 Full Time Teachers/Lecturer,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,172.13,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,172.14,Specific skill training per girl,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,172.15,Electricity / Water Charges,Physical Number should proposed per Girl Student per annum,
,,,172.16,Medical care / Contingencies,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,172.17,Maintenance,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,172.18,Miscellaneous,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,172.19,Preparatory Camps,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
,,,172.20,P.T.A.,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,172.21,Provision of Rent,Physical Number should proposed per Girl Student per annum,
,,,172.22,Capacity Building,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
,,,172.23,Physical / Self Defence,Physical Number should proposed per KGBV per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,172.24,Examination Fee,Physical Number should proposed per Girl Student,
,,173,,KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),,
,,,173.1,Construction of building (new) / Upgradation,As per  State SORs/CPWD Rate (Which ever is less),
,,,173.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,173.3,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,173.4,Furniture/ Equipment (including kitchen),Physical Number should be proposed on no. of Girls Students,
,,,173.5,TLM and equipment including library books,Physical Number should be proposed on no. of Girls Students,
,,,173.6,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,,173.7,Replacement of bedding (once in 3 years),Physical should be proposed per Student,
,,174,,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),,
,,,174.1,Food/Lodging per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,174.2,Stipend per girl per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,174.3,"Supplementary TLM, Stationery and other educational material",Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,174.4,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,174.5,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,174.6,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,174.7,1 Full time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,174.8,"2 Support Staff - (Accountant / Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,174.9,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,174.10,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,174.11,1 Head Teacher/Principal,Physical Number should proposed per Head Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,174.12,4 Full Time Teachers/Lecturer,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,174.13,Specific skill training per girl,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,174.14,Electricity / Water Charges,Physical Number should proposed per Girl Student per annum,
,,,174.15,Medical care / Contingencies,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,174.16,Maintenance,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,174.17,Miscellaneous,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,174.18,Preparatory Camps,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
,,,174.19,P.T.A.,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,174.20,Provision of Rent,Physical Number should proposed per Girl Student per annum,
,,,174.21,Capacity Building,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
,,,174.22,Physical / Self Defence,Physical Number should proposed per KGBV per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,174.23,Examination Fee,Physical Number should proposed per Girl Student,
,Rani Laxmibai Atma Raksha Prashikshan,184,,Rani Laxmibai Atma Raksha Prashikshan (up to Highest Class VIII),,
,,,184.1,Rani Laxmibai Atma Raksha Prashikshan (Upto Class VIII),Provision for upto Rs. 5000 per month for 3 months per school.,
,Special Projects for Equity,187,,Special Projects for Equity - (NR) (Elementary),,
,,,187.1,Sanitary pad Vending & incinerator machines,Government Schools having girls enrollment from Class 6 - 8,
Inclusive Education,Provision for Children with Special Needs (CWSN),191,,Student Oriented Components (Pre-Primary) (District Level)  (Recurring),,
,,,191.1,Purchase/Development of  age appropriate TLMs,Physical Number should be proposed no. of Districts,
,,,191.2,"Orientation of Principals, Pre-Primary teachers, Anganwadi workers,parents/guardians etc",Physical Number should be proposed no. of Districts,
,,194,,Student Oriented Components (Pre-Primary) (Block Level)  (Recurring),,
,,,194.2,Gap Identification for OoSCwSN,Physical Number Should proposed per Student,
,,,194.3,"Assistive Devices,Equipments and TLM",Physical Number Should proposed per Student,
,,,194.4,Helper/Ayas/Attendant,Physical Number should proposed No. of School and resource rooms at block level,
,,196,,Student Oriented Components (Pre-Primary) (Student Specific)  (Recurring),,
,,,196.3,Escort Allowance,Physical Number Should proposed per Student,
,,,196.4,Transport Allowance,Physical Number Should proposed per Student,
,,,196.5,"Braille Stationary Material (Inc. Embossed Charts, globes etc)",Physical Number should proposed No. of Students (Only for VI and Low Vision Students),
,,,196.6,Providing Aids & Appliances,Physical Number to be proposed per Student along with category of disability,
,,,196.7,Story tellers for CWSN including the usage of sign language,Physical Number to be proposed per Pre-primary schools,
,,197,,Stipend for Girls (Pre-Primary) (Recurring),,
,,,197.1,Stipend for Girls,Rs. 200 per month for 10 months,CWSN Enrolment as per UDISE +
,,198,,Student Oriented Components (Upto Highest Class - VIII) (District Level)  (Recurring),,
,,,198.1,Purchase/Development of instructional & Training materials,,
,,,198.2,Sports & Exposure Visit,,
,,,198.3,Therapeutic Services,,
,,,198.4,"Orientation of Principals, Educational administrators, parents / guardians etc.",,
,,199,,Student Oriented Components (Upto Highest Class - VIII) (Block Level)  (Recurring),,
,,,199.2,Teacher Need Analysis for Training,,
,,,199.3,Gap Identification for OoSCwSN,,
,,,199.4,"Assistive Devices,Equipments and TLM",,
,,,199.5,Environment Building programme,,
,,,199.6,Helper/Ayas/Attendant,,
,,200,,Student Oriented Components (Upto Highest Class - VIII) (Student Specific)  (Recurring),,
,,,200.3,Escort Allowance,,
,,,200.4,Transport Allowance,,
,,,200.5,Home Based Education,,
,,,200.6,"Braille Stationary Material (Inc. Embossed Charts, globes etc)",,
,,,200.7,Providing Aids & Appliances,,
,,,200.8,Reader Allowance- For only VI and Low vision,,
,,201,,Stipend for Girls (Upto Highest Class - VIII)  (Recurring),,
,,,201.1,Stipend for Girls,Rs. 200 per month for 10 months,CWSN Enrolment as per UDISE +
,,206,,Identification & Assessment (up to Highest Class VIII),,
,,,206.1,Identification and Assessment (Medical Assessment Camps) (Upto Highest Class VIII),Rs. 10000 /- per camp,
,,,206.2,Early Identification and Detection Camps (Pre-Primary),Rs. 10000 /- per camp,
,,208,,Capacity Building of Special Educators  (up to Highest Class VIII),,
,,,208.1,In-service Training of Special Educators  (Upto Highest Class VIII),Upto Rs. 500/- per day per teacher (as per existing In-Service Training Norms),
,,210,,Resource Support towards Salary (Upto Highest Class VIII) (Recurring),,
,,,210.1,Financial Support (Previous Spl. Educators),,1. Should be in-position 2. List of Special Educators posted in Schools with Udise Code. 3 Udise Code of all Schools covered by the concern Special Educators 4.RCI number
,,,210.2,Financial Support (New Spl. Educators ),,1. Should be in-position 2. List of Special Educators posted in Schools with Udise Code. 3 Udise Code of all Schools covered by the concern Special Educators 4.RCI number
Sports & Physical Education,Sports & Physical Education,123,,Sports & Physical Education   (upto Highest Class VIII),,
,,,123.1,Sports & Physical Education (Primary Schools ),"Up to Rs.5,000. Physical Number Should be proposed per School",Govt. Schools as per UDISE + with enrollment > 0
,,,123.2,Sports & Physical Education (Upper Primary Schools ),"Up to Rs.10,000 . Physical Number Should be proposed per School",Govt. Schools as per UDISE + with enrollment > 0
Monitoring of the Scheme,Monitoring Information System (MIS),219,,Monitoring of the Scheme,,
,,,219.2,Child Tracking System,Physical Number  to be proposed per Student,
,,,,Management Information System (Udise +),Physical Number  to be proposed per Student,
,,219.1,,Vidhya Samiksha Kendra (Non-Recurring) (EE/SE/TE),,
,,,219.10.13,Vidya Samiksha Kendra (Non-Recurring),,
,,219.2,,Vidhya Samiksha Kendra (Recurring)   (EE/SE/TE),,
,,,219.20.14,Vidya Samiksha Kendra (Recurring),,
Program Management,Program Management,221,,Program Management (MMER - E.E / S.E. / T.E.),,
,,,221.1,Program Management (MMMER - E.E / S.E. / T.E.),,
Secondary Education,,,,,,
Access & Retention,Opening of New / Upgraded Schools,3,,Opening of New / Upgraded Schools  - NR (Secondary),,
,,,3.1,1 Section School (Class IX - X),As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be covered under Strengtheing of Existing Schools 2. Should not be covered in Previous Year under Ertswhile RMSA , Samagra Shiksha. 3. UDISE code must be of 11 digit 4. Should have sufficient enrolment in Class 8th (including nearby schools) 5.Schools must be proposed having Middle / Upper Primary Classes 6. Avoid to proposed Standalone schools "
,,,3.2,2 Section School (Class IX - X),As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be covered under Strengtheing of Existing Schools 2. Should not be covered in Previous Year under Ertswhile RMSA , Samagra Shiksha. 3. UDISE code must be of 11 digit 4. Should have sufficient enrolment in Class 8th (including nearby schools) 5.Schools must be proposed having Middle / Upper Primary Classes 6. Avoid to proposed Standalone schools"
,,,3.3,Composite School for Secondary,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be covered under Strengtheing of Existing Schools 2. Should not be covered in Previous Year under Ertswhile RMSA , Samagra Shiksha. 3. UDISE code must be of 11 digit 4. Should have sufficient enrolment in Class 8th (including nearby schools) 5.Schools must be proposed having Middle / Upper Primary Classes 6. Avoid to proposed Standalone school"
,,5,,Opening of New / Upgraded Schools  - Recurring (Secondary),,
,,,5.1,Recurring Cost - Secondary (New) (Samagra),,
,,,5.2,Recurring Cost - Secondary (Previous) (Samagra),,
,,6,,Opening of New / Upgraded Schools - NR (Hr. Secondary),,
,,,6.1,Higher Secondary School - Science Subject (XI - XII),As per  State SORs/CPWD Rate (Which ever is less),1. Should not be covered under Strengtheing of Existing Schools 2. Should not be covered in Previous Year under Samagra Shiksha. 3. UDISE code must be of 11 digit.4. Must be Government Secondary School
,,,6.2,Higher Secondary School - Commerce Subject (XI - XII),As per  State SORs/CPWD Rate (Which ever is less),1. Should not be covered under Strengtheing of Existing Schools 2. Should not be covered in Previous Year under Samagra Shiksha. 3. UDISE code must be of 11 digit.4. Must be Government Secondary School
,,,6.3,Higher Secondary School - Arts Subject (XI - XII),As per  State SORs/CPWD Rate (Which ever is less),1. Should not be covered under Strengtheing of Existing Schools 2. Should not be covered in Previous Year under Samagra Shiksha. 3. UDISE code must be of 11 digit.4. Must be Government Secondary School
,,7,,Opening of New / Upgraded Schools  - Recurring (Hr. Secondary),,
,,,7.1,Recurring Cost - New Hr. Sec. (1 Subject) (Samagra),,
,,,7.2,Recurring Cost - Hr. Sec. (1 Subject) (Previous) (Samagra),,
,,,7.3,Recurring Cost - New Hr. Sec. (2 Subject (Samagra),,
,,,7.4,Recurring Cost - Hr. Sec. (Previous) (2 Subject) (Samagra),,
,,8,,Addition of Subject in  Existing Hr. Secondary - NR,,
,,,8.1,Higher Secondary School - Arts Subject (XI - XII),As per  State SORs/CPWD Rate (Which ever is less),
,,,8.2,Higher Secondary School - Commerce Subject (XI - XII),As per  State SORs/CPWD Rate (Which ever is less),
,,,8.3,Higher Secondary School - Science Subject (XI - XII),As per  State SORs/CPWD Rate (Which ever is less),
,,9,,Addition of Subject in  Existing Hr. Secondary - Recurring,,
,,,9.1,Recurring Cost - Addition of Subject in Existing Hr. Sec. (New) (Samagra),,
,,,9.2,Recurring Cost - Addition of Subject in Existing Hr. Sec. (Previous) (Samagra),,
,Netaji Subhas Chandra Avasiya Vidhyalaya,44.1,,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - Recurring (New) (Upgradation till XII),,
,,,44.10.1,No. of New Hostels  - Current Year,"Enter Physical No. of New Hostels proposed current year, Financial budget would be Zero for this activity",
,Strengthening of Existing Schools,49,,Strengthening of Existing Schools  (IX - X)  - NR,,
,,,49.2,Computer Room,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,49.3,Boys Toilet,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be proposed if approved under Samagra Shiksha and whose construction was not completed.  2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School 
,,,49.4,Library Room,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,49.5,Lab Equipment (Sci Lab),As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,49.6,Science Lab,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,49.7,Art/Craft Room,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,49.8,Toilets for CWSN,As per  State SORs/CPWD Rate (Which ever is less) Physical Number should be proposed per Toilet,1. Should not be proposed if approved under Samagra Shiksha and whose construction was not completed. 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,49.9,Drinking Water,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be proposed if approved under Samagra Shiksha and was not completed.  2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School 
,,,49.10,Additional Classroom,As per  State SORs/CPWD Rate (Which ever is less). Physcial Number should proposed No. of ACR,1. Avoid proposing schools which was already approved under Samagra Shiksha and whose construction was not completed. 2. Remove duplicates in the Existing Proposal 3. Must be Government Schools 
,,,49.11,Removal of Architectural Barriers,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,49.12,Girls Toilet,Physical Number should proposed No. of Toilets,1. Should not be proposed if approved under Samagra Shiksha and whose construction was not completed. 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,50,,Strengthening of Existing Schools (XI - XII) - NR,,
,,,50.2,Library Room,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,50.3,Lab Equipment (Sci Lab),As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,50.4,Science Lab,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,50.5,Drinking Water,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be proposed if approved under Samagra Shiksha and was not completed.  2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School 
,,,50.6,Additional Classroom,As per  State SORs/CPWD Rate (Which ever is less). Physcial Number should proposed No. of ACR,1. Avoid proposing schools which was already approved under Samagra Shiksha and whose construction was not completed. 2. Remove duplicates in the Existing Proposal 3. Must be Government Schools 
,,,50.7,Physics Lab,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,50.8,Chemistry Lab,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,50.9,Biology Lab,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,50.10,Art / Craft Room,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,50.11,Boys Toilet,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be proposed if approved under Samagra Shiksha and whose construction was not completed.  2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School 
,,,50.12,Girls Toilet,Physical Number should proposed No. of Toilets,1. Should not be proposed if approved under Samagra Shiksha and whose construction was not completed. 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,50.13,Removal of Architectural Barriers,As per  State SORs/CPWD Rate (Which ever is less) . Physical should be proposed per School,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,50.25,Lab Equipment (Physics),,
,,,50.26,Lab Equipment (Chemistry),,
,,,50.27,Lab Equipment (Maths),,
,,,50.28,Lab Equipment (Biology),,
,,52,,Electrification in Schools (Secondary and Sr. Secondary) - NR,,
,,,52.1,Solar Panel For Hostels,Physical should be proposed per Hostel,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3. Avoid duplicate proposal 4.Must be Government School
,,,52.2,Solar Panel For School,Physical should be proposed per School,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3. Avoid duplicate proposal 4.Must be Government School
,,54,,Teacher Quarter  - NR  (up to Highest Class X or XII),,
,,,54.1,Residential Quarter,As per  State SORs/CPWD Rate (Which ever is less),
,,55,,Repairing and Renovations   (up to Highest Class X or XII)    - NR,,
,,,55.1,Major Repair,As per  State SORs/CPWD Rate (Which ever is less),1.Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School 6. Provide Photgraphs 7. SSOR documents
,Transport & Escort Facilities,59,,Transport / Escort Facility (Secondary),,
,,,59.1,Transport & Escort Facilty,Upto Rs. 6000/- per child upto class X,
,Open Schooling System,69,,Open Schools System for OoSC (NIOS/SIOS),,
,,,69.1,Support to Age Group 16-19 (Upto Highest Class XII),"Up to Rs 2,000/- per child per annum",
RTE Entitlements,Community Mobilization,99,,Community Mobilization (Secondary),,
,,,99.1,SMDC Training,Physical should be proposed per School,
,,,99.4,Community Mobilization,Up to @Rs 1500 per school subject to specific plan,
Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,,Innovation Projects - Recurring  (Secondary & Sr. Secondary),,
,,,74.1,Holistic Report Card for Students (Secondary & Sr. Secondary),@ Rs. 5/- per child (Govt. & Govt. Aided Schools). Physical Number should proposed No. of  Students,
,,,74.2,Aptitude Test at School Level,Physical Number should proposed No. of Students,
,,,74.3,Funds for Safety and Security,Physical Number should proposed per School,
,,,74.4,Orientation Programme for Teachers on safety and Security,As per State. Physical Number to be proposed per Teacher,
,,,74.5,Shaala Siddhi,Physical should be proposed per School,
,,,74.6,Talent Search at school level,Physical Number should be proposed on no. of Schools,
,,,74.7,Teacher Exchange programme,Physical Number should be proposed on no. of Teachers / Districts,
,,,74.8,Teacher IdCards,Physical Should be proposed per Teacher,
,,,74.9,Youth & Eco Club,Physical Number should be proposed No. of School,
,,,74.10,Exposure to Vocational Education (Class 6 - 8),,
,,,74.12,Orientation /Training of General Teachers on IE,,
,,83,,Project Kala Utsav  (Secondary),,
,,,83.1,TA / DA Allowance for National Level,,
,,,83.2,Kala Utsav,,
,,94,,LEP (Class IX - XII),,
,,,94.1,Learning Enhancement/Enrichment Programme (Remedial Teaching),Physical Quantity should be Number of Students (Maximum of 20% of total students enrolled),
,,100,,Band Competition,,
,,,100.1,Band Competition (Secondary&Sr. Secondary),,Govt. Schools as per UDISE +
,Assessment at National & State level,103,,Assessment at State level (Secondary),,
,,,103.1,Assessment at State Level,Upto @Rs. 10 to 20 lakhs per district depending upon the size of the districts and states.,
,Training for In-service Teacher and Head Teachers,107,,In-Service Training (IX - XII ),,
,,,107.2,Teachers Class XI to XII (Government Schools),Upto Rs 300-500/- per teacher per day.,
,,,107.4,Teachers Class XI to XII (Government Aided Schools),Upto Rs 300-500/- per teacher per day.,
,,,107.29,Training for Educational Administrators (Secondary),,
,,,,Training for Educational Administrators (Sr. Secondary),,
,,113,,Training of Resource Persons  & Master Trainers   (Secondary),,
,,,113.15,KRPs Training Under NISHTHA State level ( Class XI to XII),,
,Composite School Grant,119,,Annual Grant (up to Highest Class X or XII),,
,,,119.1,School Grant - (Enrol > 30 and  <=100 ),Rs. 25000/-(including at-least Rs 2500 for swachhta action plan) having enrolment <= 100,Enrollment as per UDISE +
,,,119.2,School Grant - (Enrol > 100 and <= 250 ),"Rs. 50,000/- (including at-leastRs. 5000 for swachhta action plan) having enrolment >100 and <=250",Enrollment as per UDISE +
,,,119.3,School Grant - (Enrol > 250 and <= 1000 ),"Rs. 75,000/- (including at-leastRs 7500 for swachhta action plan) having enrolment >250 and <=1000",Enrollment as per UDISE +
,,,119.4,School Grant - (Enrol > 1000),"Rs. 100,000/-(including at-leastRs. 10000 for swachhta action plan) ) having enrolment > 1000",Enrollment as per UDISE +
,,,119.5,School Grant (Enrol >= 1 and <= 30),"Rs. 10,000/- (including at-leastRs 1000 for swachhta action plan) having enrolment >1 and < 15",Enrollment as per UDISE +
,Library Grants,121,,Library Grant (upto Highest Class XII),,
,,,121.1,Secondary Schools (Upto Class X),"Up to @ Rs. 15,000/- for Secondary schools",
,,,121.2,Senior Secondary School (Upto Class XII),"Up to @ Rs.20,000/- Senior Secondary school",
,Rastriya Aavishkar Abhiyan,125,,Rashtriya Aaviskaar Abhiyan (Secondary),,
,,,125.1,Science Exhibition / Book Fair,Physical should be proposed No. of Districts,
,,,125.2,Quiz Competition,Physical Number to be proposed per Student,
,,,125.3,Study Trip for Students to Higher Institutions  (Within States),Physical Should be proposed per Student,
,,,125.4,Exposure visit outside State,Physical Number should proposed per Student,
,,,125.5,Maths Kit,Physical Number  to be proposed per School,
,,,125.6,Science Kit,Physical should be proposed per School,
,,,125.7,Tinkering Lab,Physical Should be proposed per School,
,,,125.8,Formation of Science / Maths Clubs,Physical Number should proposed per School,
,,,125.9,Participation in Children's Science Congress,Physical Number to be proposed per Student,
,,,125.10,Participation in Science and Maths Olympiads,Physical Number to be proposed per Student,
,,,125.11,School Mentoring by Higher Education Instititutes,Physical should be proposed No. of Schools,
,ICT and Digital Initiatives,129,,Digital Hardware & Software (upto Highest Class XII) - NR,,
,,,129.1,Digital Hardware & Software (Type - I) (Secondary & Sr. Secondary),Rs. 6.40 lacs per school,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,129.2,Smart Classroom  (Type - II) (Secondary & Sr. Secondary),Rs. 2.40 lacs per school,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,130,,Recurring Components (Digital Hardware & Software upto Highest Class XII),,
