bo.,Scheme,Major Component,Sub Component,Activity Master ID,Activity Master Name,Activity Master Details ID,Activity Master Details,Norms,Criteria For Appraisal
756,Secondary Education,Access & Retention,Opening of New / Upgraded Schools,6,Opening of New / Upgraded Schools - NR (Hr. Secondary),6.3,Higher Secondary School - Arts Subject (XI - XII),As per  State SORs/CPWD Rate (Which ever is less),1. Should not be covered under Strengtheing of Existing Schools 2. Should not be covered in Previous Year under Samagra Shiksha. 3. UDISE code must be of 11 digit.4. Must be Government Secondary School
757,Secondary Education,Access & Retention,Opening of New / Upgraded Schools,7,Opening of New / Upgraded Schools  - Recurring (Hr. Secondary),,,,
758,Secondary Education,Access & Retention,Opening of New / Upgraded Schools,7,Opening of New / Upgraded Schools  - Recurring (Hr. Secondary),7.1,Recurring Cost - New Hr. Sec. (1 Subject) (Samagra),,
759,Secondary Education,Access & Retention,Opening of New / Upgraded Schools,7,Opening of New / Upgraded Schools  - Recurring (Hr. Secondary),7.2,Recurring Cost - Hr. Sec. (1 Subject) (Previous) (Samagra),,
760,Secondary Education,Access & Retention,Opening of New / Upgraded Schools,7,Opening of New / Upgraded Schools  - Recurring (Hr. Secondary),7.3,Recurring Cost - New Hr. Sec. (2 Subject (Samagra),,
761,Secondary Education,Access & Retention,Opening of New / Upgraded Schools,7,Opening of New / Upgraded Schools  - Recurring (Hr. Secondary),7.4,Recurring Cost - Hr. Sec. (Previous) (2 Subject) (Samagra),,
762,Secondary Education,Access & Retention,Opening of New / Upgraded Schools,8,Addition of Subject in  Existing Hr. Secondary - NR,,,,
763,Secondary Education,Access & Retention,Opening of New / Upgraded Schools,8,Addition of Subject in  Existing Hr. Secondary - NR,8.1,Higher Secondary School - Arts Subject (XI - XII),As per  State SORs/CPWD Rate (Which ever is less),
764,Secondary Education,Access & Retention,Opening of New / Upgraded Schools,8,Addition of Subject in  Existing Hr. Secondary - NR,8.2,Higher Secondary School - Commerce Subject (XI - XII),As per  State SORs/CPWD Rate (Which ever is less),
765,Secondary Education,Access & Retention,Opening of New / Upgraded Schools,8,Addition of Subject in  Existing Hr. Secondary - NR,8.3,Higher Secondary School - Science Subject (XI - XII),As per  State SORs/CPWD Rate (Which ever is less),
766,Secondary Education,Access & Retention,Opening of New / Upgraded Schools,9,Addition of Subject in  Existing Hr. Secondary - Recurring,,,,
767,Secondary Education,Access & Retention,Opening of New / Upgraded Schools,9,Addition of Subject in  Existing Hr. Secondary - Recurring,9.1,Recurring Cost - Addition of Subject in Existing Hr. Sec. (New) (Samagra),,
768,Secondary Education,Access & Retention,Opening of New / Upgraded Schools,9,Addition of Subject in  Existing Hr. Secondary - Recurring,9.2,Recurring Cost - Addition of Subject in Existing Hr. Sec. (Previous) (Samagra),,
769,Secondary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,44,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - Recurring (New) (Upgradation till XII),,,,
770,Secondary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,44,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - Recurring (New) (Upgradation till XII),44.10.1,No. of New Hostels  - Current Year,"Enter Physical No. of New Hostels proposed current year, Financial budget would be Zero for this activity",
771,Secondary Education,Access & Retention,Strengthening of Existing Schools,49,Strengthening of Existing Schools  (IX - X)  - NR,,,,
772,Secondary Education,Access & Retention,Strengthening of Existing Schools,49,Strengthening of Existing Schools  (IX - X)  - NR,49.2,Computer Room,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
773,Secondary Education,Access & Retention,Strengthening of Existing Schools,49,Strengthening of Existing Schools  (IX - X)  - NR,49.3,Boys Toilet,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be proposed if approved under Samagra Shiksha and whose construction was not completed.  2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School 
774,Secondary Education,Access & Retention,Strengthening of Existing Schools,49,Strengthening of Existing Schools  (IX - X)  - NR,49.4,Library Room,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
775,Secondary Education,Access & Retention,Strengthening of Existing Schools,49,Strengthening of Existing Schools  (IX - X)  - NR,49.5,Lab Equipment (Sci Lab),As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
776,Secondary Education,Access & Retention,Strengthening of Existing Schools,49,Strengthening of Existing Schools  (IX - X)  - NR,49.6,Science Lab,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
777,Secondary Education,Access & Retention,Strengthening of Existing Schools,49,Strengthening of Existing Schools  (IX - X)  - NR,49.7,Art/Craft Room,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
778,Secondary Education,Access & Retention,Strengthening of Existing Schools,49,Strengthening of Existing Schools  (IX - X)  - NR,49.8,Toilets for CWSN,As per  State SORs/CPWD Rate (Which ever is less) Physical Number should be proposed per Toilet,1. Should not be proposed if approved under Samagra Shiksha and whose construction was not completed. 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
779,Secondary Education,Access & Retention,Strengthening of Existing Schools,49,Strengthening of Existing Schools  (IX - X)  - NR,49.9,Drinking Water,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be proposed if approved under Samagra Shiksha and was not completed.  2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School 
780,Secondary Education,Access & Retention,Strengthening of Existing Schools,49,Strengthening of Existing Schools  (IX - X)  - NR,49.1,Additional Classroom,As per  State SORs/CPWD Rate (Which ever is less). Physcial Number should proposed No. of ACR,1. Avoid proposing schools which was already approved under Samagra Shiksha and whose construction was not completed. 2. Remove duplicates in the Existing Proposal 3. Must be Government Schools 
781,Secondary Education,Access & Retention,Strengthening of Existing Schools,49,Strengthening of Existing Schools  (IX - X)  - NR,49.11,Removal of Architectural Barriers,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
782,Secondary Education,Access & Retention,Strengthening of Existing Schools,49,Strengthening of Existing Schools  (IX - X)  - NR,49.12,Girls Toilet,Physical Number should proposed No. of Toilets,1. Should not be proposed if approved under Samagra Shiksha and whose construction was not completed. 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
783,Secondary Education,Access & Retention,Strengthening of Existing Schools,50,Strengthening of Existing Schools (XI - XII) - NR,,,,
784,Secondary Education,Access & Retention,Strengthening of Existing Schools,50,Strengthening of Existing Schools (XI - XII) - NR,50.2,Library Room,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
785,Secondary Education,Access & Retention,Strengthening of Existing Schools,50,Strengthening of Existing Schools (XI - XII) - NR,50.3,Lab Equipment (Sci Lab),As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
786,Secondary Education,Access & Retention,Strengthening of Existing Schools,50,Strengthening of Existing Schools (XI - XII) - NR,50.4,Science Lab,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
787,Secondary Education,Access & Retention,Strengthening of Existing Schools,50,Strengthening of Existing Schools (XI - XII) - NR,50.5,Drinking Water,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be proposed if approved under Samagra Shiksha and was not completed.  2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School 
788,Secondary Education,Access & Retention,Strengthening of Existing Schools,50,Strengthening of Existing Schools (XI - XII) - NR,50.6,Additional Classroom,As per  State SORs/CPWD Rate (Which ever is less). Physcial Number should proposed No. of ACR,1. Avoid proposing schools which was already approved under Samagra Shiksha and whose construction was not completed. 2. Remove duplicates in the Existing Proposal 3. Must be Government Schools 
789,Secondary Education,Access & Retention,Strengthening of Existing Schools,50,Strengthening of Existing Schools (XI - XII) - NR,50.7,Physics Lab,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
790,Secondary Education,Access & Retention,Strengthening of Existing Schools,50,Strengthening of Existing Schools (XI - XII) - NR,50.8,Chemistry Lab,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
791,Secondary Education,Access & Retention,Strengthening of Existing Schools,50,Strengthening of Existing Schools (XI - XII) - NR,50.9,Biology Lab,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
792,Secondary Education,Access & Retention,Strengthening of Existing Schools,50,Strengthening of Existing Schools (XI - XII) - NR,50.1,Art / Craft Room,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
793,Secondary Education,Access & Retention,Strengthening of Existing Schools,50,Strengthening of Existing Schools (XI - XII) - NR,50.11,Boys Toilet,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be proposed if approved under Samagra Shiksha and whose construction was not completed.  2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School 
794,Secondary Education,Access & Retention,Strengthening of Existing Schools,50,Strengthening of Existing Schools (XI - XII) - NR,50.12,Girls Toilet,Physical Number should proposed No. of Toilets,1. Should not be proposed if approved under Samagra Shiksha and whose construction was not completed. 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
795,Secondary Education,Access & Retention,Strengthening of Existing Schools,50,Strengthening of Existing Schools (XI - XII) - NR,50.13,Removal of Architectural Barriers,As per  State SORs/CPWD Rate (Which ever is less) . Physical should be proposed per School,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
796,Secondary Education,Access & Retention,Strengthening of Existing Schools,50,Strengthening of Existing Schools (XI - XII) - NR,50.25,Lab Equipment (Physics),,
797,Secondary Education,Access & Retention,Strengthening of Existing Schools,50,Strengthening of Existing Schools (XI - XII) - NR,50.26,Lab Equipment (Chemistry),,
798,Secondary Education,Access & Retention,Strengthening of Existing Schools,50,Strengthening of Existing Schools (XI - XII) - NR,50.27,Lab Equipment (Maths),,
799,Secondary Education,Access & Retention,Strengthening of Existing Schools,50,Strengthening of Existing Schools (XI - XII) - NR,50.28,Lab Equipment (Biology),,
800,Secondary Education,Access & Retention,Strengthening of Existing Schools,52,Electrification in Schools (Secondary and Sr. Secondary) - NR,,,,
801,Secondary Education,Access & Retention,Strengthening of Existing Schools,52,Electrification in Schools (Secondary and Sr. Secondary) - NR,52.1,Solar Panel For Hostels,Physical should be proposed per Hostel,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3. Avoid duplicate proposal 4.Must be Government School
802,Secondary Education,Access & Retention,Strengthening of Existing Schools,52,Electrification in Schools (Secondary and Sr. Secondary) - NR,52.2,Solar Panel For School,Physical should be proposed per School,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3. Avoid duplicate proposal 4.Must be Government School
803,Secondary Education,Access & Retention,Strengthening of Existing Schools,54,Teacher Quarter  - NR  (up to Highest Class X or XII),,,,
804,Secondary Education,Access & Retention,Strengthening of Existing Schools,54,Teacher Quarter  - NR  (up to Highest Class X or XII),54.1,Residential Quarter,As per  State SORs/CPWD Rate (Which ever is less),
805,Secondary Education,Access & Retention,Strengthening of Existing Schools,55,Repairing and Renovations   (up to Highest Class X or XII)    - NR,,,,
806,Secondary Education,Access & Retention,Strengthening of Existing Schools,55,Repairing and Renovations   (up to Highest Class X or XII)    - NR,55.1,Major Repair,As per  State SORs/CPWD Rate (Which ever is less),1.Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School 6. Provide Photgraphs 7. SSOR documents
807,Secondary Education,Access & Retention,Transport & Escort Facilities,59,Transport / Escort Facility (Secondary),,,,
808,Secondary Education,Access & Retention,Transport & Escort Facilities,59,Transport / Escort Facility (Secondary),59.1,Transport & Escort Facilty,Upto Rs. 6000/- per child upto class X,
809,Secondary Education,Access & Retention,Open Schooling System,69,Open Schools System for OoSC (NIOS/SIOS),,,,
810,Secondary Education,Access & Retention,Open Schooling System,69,Open Schools System for OoSC (NIOS/SIOS),69.1,Support to Age Group 16-19 (Upto Highest Class XII),"Up to Rs 2,000/- per child per annum",
811,Secondary Education,RTE Entitlements,Community Mobilization,99,Community Mobilization (Secondary),,,,
812,Secondary Education,RTE Entitlements,Community Mobilization,99,Community Mobilization (Secondary),99.1,SMDC Training,Physical should be proposed per School,
813,Secondary Education,RTE Entitlements,Community Mobilization,99,Community Mobilization (Secondary),99.4,Community Mobilization,Up to @Rs 1500 per school subject to specific plan,
814,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),,,,
815,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.1,Holistic Report Card for Students (Secondary & Sr. Secondary),@ Rs. 5/- per child (Govt. & Govt. Aided Schools). Physical Number should proposed No. of  Students,
816,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.2,Aptitude Test at School Level,Physical Number should proposed No. of Students,
817,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.3,Funds for Safety and Security,Physical Number should proposed per School,
818,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.4,Orientation Programme for Teachers on safety and Security,As per State. Physical Number to be proposed per Teacher,
819,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.5,Shaala Siddhi,Physical should be proposed per School,
820,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.6,Talent Search at school level,Physical Number should be proposed on no. of Schools,
821,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.7,Teacher Exchange programme,Physical Number should be proposed on no. of Teachers / Districts,
822,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.8,Teacher IdCards,Physical Should be proposed per Teacher,
823,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.9,Youth & Eco Club,Physical Number should be proposed No. of School,
824,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.1,Exposure to Vocational Education (Class 6 - 8),,
825,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.12,Orientation /Training of General Teachers on IE,,
826,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",83,Project Kala Utsav  (Secondary),,,,
827,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",83,Project Kala Utsav  (Secondary),83.1,TA / DA Allowance for National Level,,
828,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",83,Project Kala Utsav  (Secondary),83.2,Kala Utsav,,
829,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",94,LEP (Class IX - XII),,,,
830,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",94,LEP (Class IX - XII),94.1,Learning Enhancement/Enrichment Programme (Remedial Teaching),Physical Quantity should be Number of Students (Maximum of 20% of total students enrolled),
831,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",100,Band Competition,,,,
832,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",100,Band Competition,100.1,Band Competition (Secondary&Sr. Secondary),,Govt. Schools as per UDISE +
833,Secondary Education,Quality Interventions,Assessment at National & State level,103,Assessment at State level (Secondary),,,,
834,Secondary Education,Quality Interventions,Assessment at National & State level,103,Assessment at State level (Secondary),103.1,Assessment at State Level,Upto @Rs. 10 to 20 lakhs per district depending upon the size of the districts and states.,
835,Secondary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,107,In-Service Training (IX - XII ),,,,
836,Secondary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,107,In-Service Training (IX - XII ),107.2,Teachers Class XI to XII (Government Schools),Upto Rs 300-500/- per teacher per day.,
837,Secondary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,107,In-Service Training (IX - XII ),107.4,Teachers Class XI to XII (Government Aided Schools),Upto Rs 300-500/- per teacher per day.,
838,Secondary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,107,In-Service Training (IX - XII ),107.29,Training for Educational Administrators (Secondary),,
839,Secondary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,107,In-Service Training (IX - XII ),,Training for Educational Administrators (Sr. Secondary),,
840,Secondary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,113,Training of Resource Persons  & Master Trainers   (Secondary),,,,
841,Secondary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,113,Training of Resource Persons  & Master Trainers   (Secondary),113.15,KRPs Training Under NISHTHA State level ( Class XI to XII),,
842,Secondary Education,Quality Interventions,Composite School Grant,119,Annual Grant (up to Highest Class X or XII),,,,
843,Secondary Education,Quality Interventions,Composite School Grant,119,Annual Grant (up to Highest Class X or XII),119.1,School Grant - (Enrol > 30 and  <=100 ),Rs. 25000/-(including at-least Rs 2500 for swachhta action plan) having enrolment <= 100,Enrollment as per UDISE +
844,Secondary Education,Quality Interventions,Composite School Grant,119,Annual Grant (up to Highest Class X or XII),119.2,School Grant - (Enrol > 100 and <= 250 ),"Rs. 50,000/- (including at-leastRs. 5000 for swachhta action plan) having enrolment >100 and <=250",Enrollment as per UDISE +
845,Secondary Education,Quality Interventions,Composite School Grant,119,Annual Grant (up to Highest Class X or XII),119.3,School Grant - (Enrol > 250 and <= 1000 ),"Rs. 75,000/- (including at-leastRs 7500 for swachhta action plan) having enrolment >250 and <=1000",Enrollment as per UDISE +
846,Secondary Education,Quality Interventions,Composite School Grant,119,Annual Grant (up to Highest Class X or XII),119.4,School Grant - (Enrol > 1000),"Rs. 100,000/-(including at-leastRs. 10000 for swachhta action plan) ) having enrolment > 1000",Enrollment as per UDISE +
847,Secondary Education,Quality Interventions,Composite School Grant,119,Annual Grant (up to Highest Class X or XII),119.5,School Grant (Enrol >= 1 and <= 30),"Rs. 10,000/- (including at-leastRs 1000 for swachhta action plan) having enrolment >1 and < 15",Enrollment as per UDISE +
848,Secondary Education,Quality Interventions,Library Grants,121,Library Grant (upto Highest Class XII),,,,
849,Secondary Education,Quality Interventions,Library Grants,121,Library Grant (upto Highest Class XII),121.1,Secondary Schools (Upto Class X),"Up to @ Rs. 15,000/- for Secondary schools",
850,Secondary Education,Quality Interventions,Library Grants,121,Library Grant (upto Highest Class XII),121.2,Senior Secondary School (Upto Class XII),"Up to @ Rs.20,000/- Senior Secondary school",
851,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),,,,
852,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.1,Science Exhibition / Book Fair,Physical should be proposed No. of Districts,
853,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.2,Quiz Competition,Physical Number to be proposed per Student,
854,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.3,Study Trip for Students to Higher Institutions  (Within States),Physical Should be proposed per Student,
855,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.4,Exposure visit outside State,Physical Number should proposed per Student,
856,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.5,Maths Kit,Physical Number  to be proposed per School,
857,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.6,Science Kit,Physical should be proposed per School,
858,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.7,Tinkering Lab,Physical Should be proposed per School,
859,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.8,Formation of Science / Maths Clubs,Physical Number should proposed per School,
860,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.9,Participation in Children's Science Congress,Physical Number to be proposed per Student,
861,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.1,Participation in Science and Maths Olympiads,Physical Number to be proposed per Student,
862,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.11,School Mentoring by Higher Education Instititutes,Physical should be proposed No. of Schools,
863,Secondary Education,Quality Interventions,ICT and Digital Initiatives,129,Digital Hardware & Software (upto Highest Class XII) - NR,,,,
864,Secondary Education,Quality Interventions,ICT and Digital Initiatives,129,Digital Hardware & Software (upto Highest Class XII) - NR,129.1,Digital Hardware & Software (Type - I) (Secondary & Sr. Secondary),Rs. 6.40 lacs per school,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
865,Secondary Education,Quality Interventions,ICT and Digital Initiatives,129,Digital Hardware & Software (upto Highest Class XII) - NR,129.2,Smart Classroom  (Type - II) (Secondary & Sr. Secondary),Rs. 2.40 lacs per school,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
866,Secondary Education,Quality Interventions,ICT and Digital Initiatives,130,Recurring Components (Digital Hardware & Software upto Highest Class XII),,,,
867,Secondary Education,Quality Interventions,ICT and Digital Initiatives,130,Recurring Components (Digital Hardware & Software upto Highest Class XII),130.1,Recurring Cost (ICT & Digital Initiatives) (Secondary & Sr. Secondary)  (Option - I) (New),@Rs 2.40 lacs per school,
868,Secondary Education,Quality Interventions,ICT and Digital Initiatives,130,Recurring Components (Digital Hardware & Software upto Highest Class XII),130.2,Recurring Cost (ICT & Digital Initiatives) (Secondary & Sr. Secondary)  (Option - I) (Existing),@Rs 2.40 lacs per school,
869,Secondary Education,Quality Interventions,ICT and Digital Initiatives,130,Recurring Components (Digital Hardware & Software upto Highest Class XII),130.3,Smart Classroom (Recurring) (Secondary & Sr. Secondary) (Option - II) (Existing),@Rs 0.38 lacs per school,
870,Secondary Education,Quality Interventions,ICT and Digital Initiatives,130,Recurring Components (Digital Hardware & Software upto Highest Class XII),130.4,Smart Classroom (Recurring) (Secondary & Sr. Secondary) (Option - II) (New),@Rs 0.38 lacs per school,
871,Secondary Education,Financial Support for Teachers,Financial Support for Teachers (HMs/Teachers),157,Financial Support for Teachers (Secondary),,,,
872,Secondary Education,Financial Support for Teachers,Financial Support for Teachers (HMs/Teachers),157,Financial Support for Teachers (Secondary),157.8,Financial Support for Teacher Salary (Secondary),,
873,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,159,Language Teachers in NER (Hindi)  (Secondary & Sr. Secondary),,,,
874,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,159,Language Teachers in NER (Hindi)  (Secondary & Sr. Secondary),159.1,Hindi Teacher (New),Physical Number should proposed No. of  Teacher,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
875,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,159,Language Teachers in NER (Hindi)  (Secondary & Sr. Secondary),159.2,Hindi Teacher (Previous),Physical Number should proposed No. of  Teacher,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
876,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,159,Language Teachers in NER (Hindi)  (Secondary & Sr. Secondary),159.3,Billengual Teaching Learning Materials and Books,Rs. 150/- per Student.  Physical Number should proposed No. of Students,
877,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,159,Language Teachers in NER (Hindi)  (Secondary & Sr. Secondary),159.4,Training of Hindi Teacher (New),Upto Rs 300-500/- per teacher per day. Physical Number should proposed per Teacher,
878,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,159,Language Teachers in NER (Hindi)  (Secondary & Sr. Secondary),159.5,Training of Hindi Teacher (Previous),Upto Rs 300-500/- per teacher per day. Physical Number should proposed per Teacher,
879,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,160,Language Teachers in States/UTs (Urdu) (Secondary & Sr. Secondary),,,,
880,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,160,Language Teachers in States/UTs (Urdu) (Secondary & Sr. Secondary),160.1,Urdu Teacher (New),Physical Number should be proposed No. of Teacher,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
881,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,160,Language Teachers in States/UTs (Urdu) (Secondary & Sr. Secondary),160.2,Urdu Teacher (Previous),Physical Number should be proposed No. of Teacher,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
882,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,160,Language Teachers in States/UTs (Urdu) (Secondary & Sr. Secondary),160.3,Billengual Teaching Learning Materials and Books,Rs. 150/- per Student.  Physical Number should proposed No. of Students,
