Sr. No,Scheme,Major Component,Sub Component,Activity Master Id,Activity Master Name,Activity Master Details ID,Activity Master Details Name,Norms / Unit Cost,Criteria For Appraisal
892,Secondary Education,Access & Retention,Strengthening of Existing Schools,55,Repairing and Renovations   (up to Highest Class X or XII)    - NR,55.1,Major Repair,As per  State SORs/CPWD Rate (Which ever is less),
893,Secondary Education,Access & Retention,Transport & Escort Facilities,59,Transport / Escort Facility (Secondary),59.1,Transport & Escort Facilty,Upto Rs. 6000/- per child upto class X,
894,Secondary Education,Access & Retention,Open Schooling System,69,Open Schools System for OoSC (NIOS/SIOS),69.1,Support to Age Group 16-19 (Upto Highest Class XII),"Up to Rs 2,000/- per child per annum",
895,Secondary Education,RTE Entitlements,Community Mobilization,99,Community Mobilization (Secondary),99.1,SMDC Training,Up to @ ? 3000 per school for Government Schools subject to a specific plan,
896,Secondary Education,RTE Entitlements,Community Mobilization,99,Community Mobilization (Secondary),99.4,Community Mobilization,Up to @Rs 1500 per school subject to specific plan,
897,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.1,Holistic Report Card for Students (Secondary & Sr. Secondary),@ Rs. 5/- per child (Govt. & Govt. Aided Schools). Physical Number should proposed No. of  Students,
898,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.2,Aptitude Test at School Level,Flexi Fund,
899,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.5,Shaala Siddhi,Flexi Fund,
900,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.6,Talent Search at school level,Flexi Fund,
901,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.7,Teacher Exchange programme,Flexi Fund,
902,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.9,Youth & Eco Club,Upto Rs. 15000/- per school,
903,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",74,Innovation Projects - Recurring  (Secondary & Sr. Secondary),74.1,Exposure to Vocational Education (Class 6 - 8),,
905,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",83,Project Kala Utsav  (Secondary),83.1,TA / DA Allowance for National Level,,
906,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",83,Project Kala Utsav  (Secondary),83.2,Kala Utsav,,
908,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",94,LEP (Class IX - XII),94.1,Learning Enhancement/Enrichment Programme (Remedial Teaching),Physical Quantity should be Number of Students (Maximum of 25% of total students enrolled),
910,Secondary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",100,Band Competition,100.1,Band Competition (Secondary&Sr. Secondary),,
911,Secondary Education,Quality Interventions,Assessment at National & State level,103,Band Competition,,Assessment at State level (Secondary),,
912,Secondary Education,Quality Interventions,Assessment at National & State level,103,Band Competition,103.1,Assessment at State Level,Upto @Rs. 10 to 20 lakhs per district depending upon the size of the districts and states.,
914,Secondary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,107,In-Service Training (IX - XII ),107.1,Teachers Class IX to X (Government Schools),Up to Rs. 500/- per day per teacher as per teacher training norms. Upto 10 days of Blended Refresher In-service blended training for teachers ,
915,Secondary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,107,In-Service Training (IX - XII ),107.2,Teachers Class XI to XII (Government Schools),Up to Rs. 500/- per day per teacher as per teacher training norms. Upto 10 days of Blended Refresher In-service blended training for teachers ,
916,Secondary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,107,In-Service Training (IX - XII ),107.3,Teachers Class IX to X (Government Aided Schools),Up to Rs. 500/- per day per teacher as per teacher training norms. Upto 10 days of Blended Refresher In-service blended training for teachers ,
917,Secondary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,107,In-Service Training (IX - XII ),107.4,Teachers Class XI to XII (Government Aided Schools),Up to Rs. 500/- per day per teacher as per teacher training norms. Upto 10 days of Blended Refresher In-service blended training for teachers ,
918,Secondary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,107,In-Service Training (IX - XII ),107.29,Training for Educational Administrators (Secondary),"Upto 5 days Blended Training of Educational Administrators, at least 3 days of which will be through online mode, @ up to ? 1000 per person per day",
919,Secondary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,107,In-Service Training (IX - XII ),,Training for Educational Administrators (Sr. Secondary),"Upto 5 days Blended Training of Educational Administrators, at least 3 days of which will be through online mode, @ up to ? 1000 per person per day",
920,Secondary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,107,In-Service Training (IX - XII ),107.3,School Leadership Training,"Blended Leadership Training through NIEPA/State Leadership Academy for Head Master/Principals up to ? 8000/-(for 16 days, at least 8 days of which will be in online mode, @ ? 500 per person per day) per Head Master/Principal per year.",
922,Secondary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,113,Training of Resource Persons  & Master Trainers   (Secondary),113.15,KRPs Training Under NISHTHA State level ( Class XI to XII),"Upto 10 days Blended Refresher training for all Resource Persons, Master Trainers, BRC and CRC faculty, DIET faculties and coordinators designated as RPs, @ up to 1000/- per person per day.",
924,Secondary Education,Quality Interventions,Composite School Grant,119,Annual Grant (up to Highest Class X or XII),119.1,School Grant - (Enrol > 30 and  <=100 ),Rs. 25000/-(including at-least Rs 2500 for swachhta action plan) having enrolment <= 100,
925,Secondary Education,Quality Interventions,Composite School Grant,119,Annual Grant (up to Highest Class X or XII),119.2,School Grant - (Enrol > 100 and <= 250 ),"Rs. 50,000/- (including at-leastRs. 5000 for swachhta action plan) having enrolment >100 and <=250",
926,Secondary Education,Quality Interventions,Composite School Grant,119,Annual Grant (up to Highest Class X or XII),119.3,School Grant - (Enrol > 250 and <= 1000 ),"Rs. 75,000/- (including at-leastRs 7500 for swachhta action plan) having enrolment >250 and <=1000",
927,Secondary Education,Quality Interventions,Composite School Grant,119,Annual Grant (up to Highest Class X or XII),119.4,School Grant - (Enrol > 1000),"Rs. 100,000/-(including at-leastRs. 10000 for swachhta action plan) ) having enrolment > 1000",
928,Secondary Education,Quality Interventions,Composite School Grant,119,Annual Grant (up to Highest Class X or XII),119.5,School Grant (Enrol >= 1 and <= 30),"Rs. 10,000/- (including at-leastRs 1000 for swachhta action plan) having enrolment >1 and < 15",
930,Secondary Education,Quality Interventions,Library Grants,121,Library Grant (upto Highest Class XII),121.1,Secondary Schools (Upto Class X),"Up to @ Rs. 15,000/- for Secondary schools",
931,Secondary Education,Quality Interventions,Library Grants,121,Library Grant (upto Highest Class XII),121.2,Senior Secondary School (Upto Class XII),"Up to @ Rs.20,000/- Senior Secondary school",
933,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.1,Science Exhibition / Book Fair,No Norms,
934,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.2,Quiz Competition,No Norms,
935,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.3,Study Trip for Students to Higher Institutions  (Within States),No Norms,
936,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.4,Exposure visit outside State,No Norms,
937,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.5,Maths Kit,No Norms,
938,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.6,Science Kit,No Norms,
939,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.7,Tinkering Lab,No Norms,
940,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.8,Formation of Science / Maths Clubs,No Norms,
941,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.9,Participation in Children's Science Congress,No Norms,
942,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.1,Participation in Science and Maths Olympiads,No Norms,
943,Secondary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,125,Rashtriya Aaviskaar Abhiyan (Secondary),125.11,School Mentoring by Higher Education Instititutes,No Norms,
945,Secondary Education,Quality Interventions,ICT and Digital Initiatives,129,Digital Hardware & Software (upto Highest Class XII) - NR,129.2,Smart Classroom  (Type - II) (Secondary & Sr. Secondary),Rs. 2.40 lacs per school,
946,Secondary Education,Quality Interventions,ICT and Digital Initiatives,129,Digital Hardware & Software (upto Highest Class XII) - NR,129.22,Additional ICT Lab (Enrolment > 700 ) New,Upto Rs. 6.40 lakh per school,
947,Secondary Education,Quality Interventions,ICT and Digital Initiatives,129,Digital Hardware & Software (upto Highest Class XII) - NR,129.23,Additional ICT Lab (Enrolment > 700 ) Existing,Upto Rs. 6.40 lakh per school,
948,Secondary Education,Quality Interventions,ICT and Digital Initiatives,129,Digital Hardware & Software (upto Highest Class XII) - NR,129.25,Digital Hardware & Software (Type - I) (Secondary/Sr. Secondary < 100),Upto Rs. 6.40 lakh per school,
949,Secondary Education,Quality Interventions,ICT and Digital Initiatives,129,Digital Hardware & Software (upto Highest Class XII) - NR,129.26,Digital Hardware & Software (Type - I) (Secondary/Sr. Secondary 100 - 250),Upto Rs. 6.40 lakh per school,
950,Secondary Education,Quality Interventions,ICT and Digital Initiatives,129,Digital Hardware & Software (upto Highest Class XII) - NR,129.27,Digital Hardware & Software (Type - I) (Secondary/Sr. Secondary 250 - 700),Upto Rs. 6.40 lakh per school,
952,Secondary Education,Quality Interventions,ICT and Digital Initiatives,130,Recurring Components (Digital Hardware & Software upto Highest Class XII),130.1,Recurring Cost (ICT & Digital Initiatives) (Secondary & Sr. Secondary)  (Option - I) (New),@Rs 2.40 lacs per school,
953,Secondary Education,Quality Interventions,ICT and Digital Initiatives,130,Recurring Components (Digital Hardware & Software upto Highest Class XII),130.2,Recurring Cost (ICT & Digital Initiatives) (Secondary & Sr. Secondary)  (Option - I) (Existing),@Rs 2.40 lacs per school,
954,Secondary Education,Quality Interventions,ICT and Digital Initiatives,130,Recurring Components (Digital Hardware & Software upto Highest Class XII),130.3,Smart Classroom (Recurring) (Secondary & Sr. Secondary) (Option - II) (Existing),@Rs 0.38 lacs per school,
955,Secondary Education,Quality Interventions,ICT and Digital Initiatives,130,Recurring Components (Digital Hardware & Software upto Highest Class XII),130.4,Smart Classroom (Recurring) (Secondary & Sr. Secondary) (Option - II) (New),@Rs 0.38 lacs per school,
957,Secondary Education,Financial Support for Teachers,Financial Support for Teachers (HMs/Teachers),157,Financial Support for Teachers (Secondary),157.8,Financial Support for Teacher Salary (Secondary),,
959,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,159,Language Teachers in NER (Hindi)  (Secondary & Sr. Secondary),159.1,Hindi Teacher (New),"Assistance would be given up to ? 30, 000 per month not exceeding the amount of salary paid to regular language teachers",
960,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,159,Language Teachers in NER (Hindi)  (Secondary & Sr. Secondary),159.2,Hindi Teacher (Previous),"Assistance would be given up to ? 30, 000 per month not exceeding the amount of salary paid to regular language teachers",
961,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,159,Language Teachers in NER (Hindi)  (Secondary & Sr. Secondary),159.3,Billengual Teaching Learning Materials and Books,Rs. 150/- per Student.  Physical Number should proposed No. of Students,
962,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,159,Language Teachers in NER (Hindi)  (Secondary & Sr. Secondary),159.4,Training of Hindi Teacher (New),Upto Rs 300-500/- per teacher per day. Physical Number should proposed per Teacher,
963,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,159,Language Teachers in NER (Hindi)  (Secondary & Sr. Secondary),159.5,Training of Hindi Teacher (Previous),Upto Rs 300-500/- per teacher per day. Physical Number should proposed per Teacher,
965,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,160,Language Teachers in States/UTs (Urdu) (Secondary & Sr. Secondary),160.1,Urdu Teacher (New),"Assistance would be given up to ? 30, 000 per month not exceeding the amount of salary paid to regular language teachers",
966,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,160,Language Teachers in States/UTs (Urdu) (Secondary & Sr. Secondary),160.2,Urdu Teacher (Previous),"Assistance would be given up to ? 30, 000 per month not exceeding the amount of salary paid to regular language teachers",
967,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,160,Language Teachers in States/UTs (Urdu) (Secondary & Sr. Secondary),160.3,Billengual Teaching Learning Materials and Books,Rs. 150/- per Student.  Physical Number should proposed No. of Students,
968,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,160,Language Teachers in States/UTs (Urdu) (Secondary & Sr. Secondary),160.4,Training of Urdu Teacher (New),Upto Rs 300-500/- per teacher per day. Physical Number should proposed per Teacher,
969,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,160,Language Teachers in States/UTs (Urdu) (Secondary & Sr. Secondary),160.6,Training of Urdu Teacher (Previous),Upto Rs 300-500/- per teacher per day. Physical Number should proposed per Teacher,
971,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),175,KGBV - Type - IV (NR) (New) (Classes IX - XII),175.1,Construction of Building (New),As per  State SORs/CPWD Rate (Which ever is less),
972,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),175,KGBV - Type - IV (NR) (New) (Classes IX - XII),175.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),
973,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),175,KGBV - Type - IV (NR) (New) (Classes IX - XII),175.3,Boring / Handpump,As per  State SORs/CPWD Rate (Which ever is less),
974,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),175,KGBV - Type - IV (NR) (New) (Classes IX - XII),175.4,Furniture & Equipment (Including Kitchen),No Norms,
975,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),175,KGBV - Type - IV (NR) (New) (Classes IX - XII),175.5,TLM and equipment including library books,No Norms,
976,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),175,KGBV - Type - IV (NR) (New) (Classes IX - XII),175.6,Bedding,No Norms,
978,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.2,Food/Lodging per child per month,for existing Stand-alone Girls’ Hostels for classes IX to XII (KGBV Type IV) of up to ? 40 lakh per annum.,
979,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.3,Stipend per girl per month,,
980,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.4,"Supplementary TLM, Stationery and other educational material",,
981,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.5,Examination Fee,,
982,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.6,1 Warden,,
983,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.7,3 Part time teachers,,
984,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.8,1 Chowkidar,,
985,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.9,1 Head Cook,,
986,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.1,2 Assistant Cook,,
987,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.11,1 Full Time Accountant,,
988,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.12,Specific skill training per girl,,
989,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.13,Electricity / Water Charges,,
990,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.14,Medical care / Contingencies,,
991,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.15,Maintenance,,
992,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.16,Miscellaneous,,
993,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.17,Preparatory Camps,,
994,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.18,P.T.A.,,
995,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.19,Provision of Rent,,
996,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.2,Capacity Building,,
997,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.21,Physical / Self Defence,,
999,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),177,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),177,Vending Machine,,
1000,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),177,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),177.1,Construction of Building (New),As per  State SORs/CPWD Rate (Which ever is less),
1001,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),177,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),177.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),
1002,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),177,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),177.3,Boring / Handpump,As per  State SORs/CPWD Rate (Which ever is less),
1003,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),177,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),177.4,Furniture & Equipment (Including Kitchen),No Norms,
1004,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),177,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),177.5,TLM and equipment including library books,No Norms,
1005,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),177,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),177.6,Bedding,No Norms,
1006,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),177,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),177.7,Replacement of bedding (once in 3 years),No Norms,
1007,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),177,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),177.14,Incinerator Machine,No Norms. Financial Support will be provided under State Specific project ,
1009,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.1,Food/Lodging per child per month,for existing Stand-alone Girls’ Hostels for classes IX to XII (KGBV Type IV) of up to ? 40 lakh per annum.,
1010,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.2,Stipend per girl per month,,
1011,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.3,"Supplementary TLM, Stationery and other educational material",,
1012,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.4,Examination Fee,,
1013,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.5,1 Warden,,
1014,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.6,3 Part time teachers,,
1015,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.7,1 Chowkidar,,
1016,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.8,1 Head Cook,,
1017,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.9,2 Assistant Cook,,
1018,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.1,1 Full Time Accountant,,
1019,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.11,Specific skill training per girl,,
1020,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.12,Electricity / Water Charges,,
1021,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.13,Medical care / Contingencies,,
1022,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.14,Maintenance,,
1023,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.15,Miscellaneous,,
1024,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.16,Preparatory Camps,,
1025,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.17,P.T.A.,,
1026,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.18,Provision of Rent,,
1027,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.19,Capacity Building,,
1028,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.2,Physical / Self Defence,,
1030,Secondary Education,Gender & Equity,Rani Laxmibai Atma Raksha Prashikshan,183,Rani Laxmibai Atma Raksha Prashikshan (upto Highest Class X or XII),183.1,Rani Laxmibai Atma Raksha Prashikshan   (Upto Class X or XII),Provision for upto Rs. 5000 per month for 3 months per school.,
1032,Secondary Education,Gender & Equity,Special Projects for Equity,185,Special Projects for Equity - (NR) (Secondary),185.1,Incinerator Machines (Upto Class XII)),No Norms. Financial Support will be provided under State Specific project ,
1033,Secondary Education,Gender & Equity,Special Projects for Equity,185,Special Projects for Equity - (NR) (Secondary),185.2,Vending Machines (Upto Class XII),No Norms. Financial Support will be provided under State Specific project ,
1035,Secondary Education,Gender & Equity,Special Projects for Equity,190,Project- Girls Empowerment  (Secondary),190.1,Adolescent Programme for Girls Students,No Norms,
1036,Secondary Education,Gender & Equity,Special Projects for Equity,190,Project- Girls Empowerment  (Secondary),190.2,Career Guidance Programme for Girls,No Norms,
1038,Secondary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),202,Student Oriented Components (Upto Highest Class - XII) (District Level)  (Recurring),202.1,Purchase/Development of instructional & Training materials,"Provision of up to ? 3500 per child, per year for children with special needs, studying in government, government aided and local body schools as per specific proposal. This will include aids and appliances, teaching material, etc",
1039,Secondary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),202,Student Oriented Components (Upto Highest Class - XII) (District Level)  (Recurring),202.2,Sports & Exposure Visit,,
1040,Secondary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),202,Student Oriented Components (Upto Highest Class - XII) (District Level)  (Recurring),202.3,Therapeutic Services,,
1041,Secondary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),202,Student Oriented Components (Upto Highest Class - XII) (District Level)  (Recurring),202.4,"Orientation of Principals, Educational administrators, parents / guardians etc.",,
1043,Secondary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),203,Student Oriented Components (Upto Highest Class - XII) (Block Level)  (Recurring),203.2,Teacher Need Analysis for Training,,
1044,Secondary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),203,Student Oriented Components (Upto Highest Class - XII) (Block Level)  (Recurring),203.3,Gap Identification for OoSCwSN,,
1045,Secondary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),203,Student Oriented Components (Upto Highest Class - XII) (Block Level)  (Recurring),203.4,"Assistive Devices,Equipments and TLM",,
1046,Secondary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),203,Student Oriented Components (Upto Highest Class - XII) (Block Level)  (Recurring),203.5,Environment Building programme,,
1047,Secondary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),203,Student Oriented Components (Upto Highest Class - XII) (Block Level)  (Recurring),203.6,Helper/Ayas/Attendant,,
1049,Secondary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),204,Student Oriented Components (Upto Highest Class - XII) (Student Specific)  (Recurring),204.3,Escort Allowance,,
1050,Secondary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),204,Student Oriented Components (Upto Highest Class - XII) (Student Specific)  (Recurring),204.4,Transport Allowance,,
1051,Secondary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),204,Student Oriented Components (Upto Highest Class - XII) (Student Specific)  (Recurring),204.5,Home Based Education,,
